@relation PartTreinamento_ConcluidoDesertou

@attribute Sexo numeric
@attribute Idade numeric
@attribute ZonaMoradia_ZONARESIDENCIAL numeric
@attribute ZonaMoradia_ASENTAMIENTOHUMANO numeric
@attribute ZonaMoradia_URBANIZACION numeric
@attribute ZonaMoradia_CASCOURBANO numeric
@attribute ZonaMoradia_PUEBLOJOVEN numeric
@attribute ZonaMoradia_OTROS numeric
@attribute ZonaMoradia_ZONARURAL numeric
@attribute Trabalha numeric
@attribute EstadoCivil_SOLTERO numeric
@attribute EstadoCivil_CASADO numeric
@attribute EstadoCivil_DIVORCIADO numeric
@attribute EstadoCivil_DESCONOCIDO numeric
@attribute EstadoCivil_SEPARADO numeric
@attribute EstadoCivil_CONVIVIENTE numeric
@attribute EstadoCivil_VIUDO numeric
@attribute Escola numeric
@attribute Religiao_CRISTIANOCATOLICO numeric
@attribute Religiao_OTRARELIGION numeric
@attribute Religiao_CRISTIANOEVANGELICO numeric
@attribute Religiao_AGNOSTICO numeric
@attribute CursoGraduacao numeric
@attribute Modalidade numeric
@attribute PeriodoIngreso numeric
@attribute NotaExameAdmissao numeric
@attribute TotalNiveisCurso numeric
@attribute TotalCreditosCurso numeric
@attribute TotalNiveisCursados numeric
@attribute PorcentagemNC numeric
@attribute TotalCreditosCursados numeric
@attribute PorcentagemCC numeric
@attribute PeriodoUltimaMatricula numeric
@attribute UltimoNivelEstudado numeric
@attribute PromedioUltimoPeriodo numeric
@attribute Class {CONCLUIDO,DESERTOU}

@data
1,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.242424,0,0.112222,0.19,0,0,0.666667,0.671233,0.681452,0.681574,0.78,0.090909,0,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.113333,0,0,0,0.333333,0.342466,0.100806,0.101152,0.333333,0.545455,0.660905,CONCLUIDO
0,0.20339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0.112222,0.5,0,0,1,1,0.943548,0.94357,0.557778,0.363636,0.305033,DESERTOU
0,0.220339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,0,0.001111,0,0,0,0.75,0.753425,0.887097,0.88714,0.335556,0.818182,0.702593,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.113333,0,0,0,0.333333,0.342466,0.237903,0.238196,0.333333,0.545455,0.660905,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.878788,1,0.112222,0.02,0,0,0.166667,0.178082,0.274194,0.274472,0.222222,0.181818,0.656329,CONCLUIDO
0,0.372881,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0.001111,0.17,0,0,0.75,0.753425,0.875,0.875048,0.446667,0.818182,1,CONCLUIDO
1,0.186441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.242424,0,0,0.15,0,0,0.833333,0.835616,0.931452,0.931478,0.445556,0.818182,0.722928,CONCLUIDO
0,0.20339,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.113333,0,0,0,0.916667,0.917808,0.887097,0.88714,0.557778,0.818182,0.660905,DESERTOU
0,0.20339,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,1,0.113333,0,0,0,0.916667,0.917808,0.887097,0.88714,0.557778,0.818182,0.660905,CONCLUIDO
0,0.186441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.212121,0,0.113333,0.19,0,0.425,0.916667,0.917808,0.975806,0.898768,0.668889,0.090909,0,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.666667,0,0.112222,0,0,0,0.75,0.753425,0.891129,0.891171,0.445556,0.818182,0.724962,CONCLUIDO
1,0.491525,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,1,0.222222,0,0,0,0.416667,0.424658,0.467742,0.467946,0.335556,0.818182,0.813421,CONCLUIDO
1,0.491525,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,1,0.222222,0.13,0,0,0.416667,0.424658,0.467742,0.467946,0.335556,0.818182,0.813421,CONCLUIDO
1,0.508475,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,1,0.111111,0.15,0,0,0.833333,0.835616,0.895161,0.895202,0.556667,0,0.796645,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.666667,0,0.111111,0,0,0,0.75,0.753425,0.891129,0.891171,0.444444,0.818182,0.722928,CONCLUIDO
0,0.338983,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.151515,1,0.222222,0.03,1,1,0.75,0.616438,0.879032,0.731286,0.556667,0.818182,0.642095,DESERTOU
0,0.338983,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,1,0.222222,0.03,0,0,0.75,0.753425,0.879032,0.879079,0.556667,0.818182,0.642095,CONCLUIDO
1,0.491525,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.916667,0.917808,0.858871,0.858925,0.446667,0.818182,0.587697,CONCLUIDO
